IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,,flag
DAB,Daytona Beach International Airport,Daytona Beach,FL,USA,29.17992,-81.05806,Daytona Beach-FL,1
DAL,Dallas Love Field,Dallas,TX,USA,32.84711,-96.85177,Dallas-TX,1
DAY,James M. Cox Dayton International Airport,Dayton,OH,USA,39.90238,-84.21938,Dayton-OH,1
DBQ,Dubuque Regional Airport,Dubuque,IA,USA,42.40296,-90.70917,Dubuque-IA,1
DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772,Arlington-VA,1
DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.667,Denver-CO,1
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,Dallas-Fort Worth-TX,1
DHN,Dothan Regional Airport,Dothan,AL,USA,31.32134,-85.44963,Dothan-AL,1
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,USA,46.79739,-102.80195,Dickinson-ND,1
DLG,Dillingham Airport,Dillingham,AK,USA,59.04541,-158.50334,Dillingham-AK,1
DLH,Duluth International Airport,Duluth,MN,USA,46.84209,-92.19365,Duluth-MN,1
DRO,Durango-La Plata County Airport,Durango,CO,USA,37.15152,-107.75377,Durango-CO,1
DSM,Des Moines International Airport,Des Moines,IA,USA,41.53493,-93.66068,Des Moines-IA,1
DTW,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884,Detroit-MI,1
DVL,Devils Lake Regional Airport,Devils Lake,ND,USA,48.11425,-98.90878,Devils Lake-ND,1
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,USA,44.86526,-91.48507,Eau Claire-WI,1
ECP,Northwest Florida Beaches International Airport,Panama City,FL,USA,,,Panama City-FL,1
EGE,Eagle County Regional Airport,Eagle,CO,USA,39.64257,-106.9177,Eagle-CO,1
EKO,Elko Regional Airport,Elko,NV,USA,40.82493,-115.7917,Elko-NV,1
ELM,Elmira/Corning Regional Airport,Elmira,NY,USA,42.15991,-76.89144,Elmira-NY,1
ELP,El Paso International Airport,El Paso,TX,USA,31.80667,-106.37781,El Paso-TX,1
ERI,Erie International Airport,Erie,PA,USA,42.08202,-80.17622,Erie-PA,1
ESC,Delta County Airport,Escanaba,MI,USA,45.72267,-87.09373,Escanaba-MI,1
EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,USA,44.12326,-123.21869,Eugene-OR,1
EVV,Evansville Regional Airport,Evansville,IN,USA,38.03799,-87.53063,Evansville-IN,1
EWN,Coastal Carolina Regional Airport (Craven County Regional),New Bern,NC,USA,35.07297,-77.04294,New Bern-NC,1
EWR,Newark Liberty International Airport,Newark,NJ,USA,40.6925,-74.16866,Newark-NJ,1
EYW,Key West International Airport,Key West,FL,USA,24.55611,-81.75956,Key West-FL,1
FAI,Fairbanks International Airport,Fairbanks,AK,USA,64.81368,-147.85967,Fairbanks-AK,1
FAR,Hector International Airport,Fargo,ND,USA,46.91935,-96.81499,Fargo-ND,1
FAT,Fresno Yosemite International Airport,Fresno,CA,USA,36.77619,-119.71814,Fresno-CA,1
FAY,Fayetteville Regional Airport,Fayetteville,NC,USA,34.99147,-78.88,Fayetteville-NC,1
FCA,Glacier Park International Airport,Kalispell,MT,USA,48.3114,-114.25507,Kalispell-MT,1
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,USA,35.13845,-111.67122,Flagstaff-AZ,1
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA,26.07258,-80.15275,Ft. Lauderdale-FL,1
FNT,Bishop International Airport,Flint,MI,USA,42.9655,-83.74346,Flint-MI,1
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,USA,43.58135,-96.7417,Sioux Falls-SD,1
FSM,Fort Smith Regional Airport,Fort Smith,AR,USA,35.33659,-94.36744,Fort Smith-AR,1
FWA,Fort Wayne International Airport,Fort Wayne,IN,USA,40.97847,-85.19515,Fort Wayne-IN,1
GCC,Gillette-Campbell County Airport,Gillette,WY,USA,44.3489,-105.53936,Gillette-WY,1
GCK,Garden City Regional Airport,Garden City,KS,USA,37.92752,-100.72441,Garden City-KS,1
GEG,Spokane International Airport,Spokane,WA,USA,47.61986,-117.53384,Spokane-WA,1
GFK,Grand Forks International Airport,Grand Forks,ND,USA,47.94926,-97.17611,Grand Forks-ND,1
GGG,East Texas Regional Airport,Longview,TX,USA,32.38486,-94.71171,Longview-TX,1
GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,USA,39.12241,-108.52673,Grand Junction-CO,1
GNV,Gainesville Regional Airport,Gainesville,FL,USA,29.69006,-82.27178,Gainesville-FL,1
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,USA,30.40728,-89.07009,Gulfport-Biloxi-MS,1
GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,USA,44.48507,-88.12959,Green Bay-WI,1
GRI,Central Nebraska Regional Airport,Grand Island,NE,USA,40.96747,-98.30861,Grand Island-NE,1
GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,USA,31.0649,-97.8278,Killeen-TX,1
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,USA,42.88082,-85.52277,Grand Rapids-MI,1
GSO,Piedmont Triad International Airport,Greensboro,NC,USA,36.09775,-79.9373,Greensboro-NC,1
GSP,Greenville-Spartanburg International Airport,Greer,SC,USA,34.89567,-82.21886,Greer-SC,1
GST,Gustavus Airport,Gustavus,AK,USA,58.42438,-135.70738,Gustavus-AK,1
GTF,Great Falls International Airport,Great Falls,MT,USA,47.482,-111.37069,Great Falls-MT,1
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,USA,33.45033,-88.59137,Columbus-Starkville-West Point-MS,1
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,USA,38.53396,-106.93318,Gunnison-CO,1
GUM,Guam International Airport,Agana,GU,USA,13.48345,-144.79598,Agana-GU,1
HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,USA,40.48118,-107.21766,Hayden-CO,1
HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN,USA,47.3866,-92.83899,Hibbing-MN,1
